agent,sub,episode,opponent,opp_final_rating,opp_archetype,opp_major,win,seat,steps
Ogerpon,55565273,103829819,ララ！ラボ,563.4,Lucario,Lucario,0,0,142
Ogerpon,55565273,103817940,ETHAN KOH,931.6,Ogerpon,Ogerpon,1,1,133
Ogerpon,55565273,103818854,Vibe_Moon,880.4,Garchomp,Garchomp,1,0,131
Ogerpon,55565273,103806349,cabbage patch,993.8,Kangaskhan+Ogerpon,Kangaskhan,0,0,116
Ogerpon,55565273,103794291,The Debauchery Tea Party,914.4,Dragapult,Dragapult,1,0,153
Ogerpon,55565273,103784221,xiaoxin01,785.4,Alakazam,Alakazam,0,0,46
Ogerpon,55565273,103772242,Agent 33,983.4,(other),other,0,0,167
Ogerpon,55565273,103762096,Nghia Tran + ketchum alt,956.8,Ogerpon,Ogerpon,1,0,112
Ogerpon,55565273,103750477,LG,776.8,Alakazam,Alakazam,1,0,189
Ogerpon,55565273,103738424,失忆的海_,864.5,Grimmsnarl+Froslass,Grimmsnarl,1,1,150
Ogerpon,55565273,103726173,Machine_e1,838.8,Grimmsnarl+Froslass,Grimmsnarl,1,0,196
Ogerpon,55565273,103726868,西松大祐,959.2,Kangaskhan,Kangaskhan,0,0,158
Ogerpon,55565273,103714156,static,814.5,Grimmsnarl+Froslass,Grimmsnarl,1,0,136
Ogerpon,55565273,103709189,Yaroslav,945.2,Grimmsnarl+Froslass,Grimmsnarl,0,1,78
Ogerpon,55565273,103702101,Arceus,690.9,(other),other,1,1,106
Ogerpon,55565273,103699584,Zikai Chen,819.8,Grimmsnarl+Froslass,Grimmsnarl,1,0,147
Ogerpon,55565273,103688014,Togawa Sakiko,918.9,Grimmsnarl+Froslass,Grimmsnarl,1,1,198
Ogerpon,55565273,103676005,Gyoukou,966.8,Lucario,Lucario,0,0,144
Ogerpon,55565273,103674610,f,854.7,Alakazam,Alakazam,0,1,162
Ogerpon,55565273,103672846,Marine or others?,882.8,Alakazam,Alakazam,1,1,33
Ogerpon,55565273,103661220,PPPPPPO,893.0,Alakazam,Alakazam,0,0,112
Ogerpon,55565273,103649231,DECEM,974.8,Dragapult,Dragapult,0,1,178
Ogerpon,55565273,103646827,luwulaoyabohomosugai,902.7,Dragapult,Dragapult,1,0,186
Ogerpon,55565273,103646360,Orin,894.9,Garchomp,Garchomp,1,0,175
Ogerpon,55565273,103635248,Yuki Yanagi,874.7,Kangaskhan+Starmie+Ogerpon,other,1,0,154
Ogerpon,55565273,103623684,Sanyam Jain,775.6,Lucario,Lucario,1,1,99
Ogerpon,55565273,103612121,payanotty,818.8,Grimmsnarl+Froslass,Grimmsnarl,1,1,131
Ogerpon,55565273,103602649,Direc M,876.3,Grimmsnarl+Froslass,Grimmsnarl,1,0,189
Ogerpon,55565273,103602168,Pocket Arena,849.7,Grimmsnarl+Froslass,Grimmsnarl,1,1,165
Ogerpon,55565273,103590471,atsushi11o7,965.0,Grimmsnarl+Froslass,Grimmsnarl,1,0,163
Ogerpon,55565273,103591058,himatani,885.7,(other),other,0,0,149
Ogerpon,55565273,103578828,Xander,854.9,Grimmsnarl+Froslass,Grimmsnarl,1,1,170
Ogerpon,55565273,103579492,llkarill,966.3,Ogerpon,Ogerpon,0,1,118
Ogerpon,55565273,103567965,Avik Das,69.6,(other),other,1,0,35
Ogerpon,55565273,103556411,kentaro_kato,1006.7,Kangaskhan+Ogerpon,Kangaskhan,0,1,127
Ogerpon,55565273,103553075,Bondo,276.4,Lucario,Lucario,1,1,154
Ogerpon,55565273,103550771,AidenSong123,823.0,Grimmsnarl+Froslass,Grimmsnarl,1,0,139
Ogerpon,55565273,103543421,Deck.csv,860.8,Alakazam,Alakazam,1,1,185
Ogerpon,55565273,103544614,kaitle,727.3,Alakazam,Alakazam,0,0,155
Ogerpon,55565273,103533072,孙割,,Ogerpon,Ogerpon,0,0,117
Ogerpon,55565273,103531418,gecogeco,972.5,Lucario,Lucario,0,1,123
Ogerpon,55565273,103524296,Lonnie,679.1,Alakazam,Alakazam,1,1,188
Ogerpon,55565273,103512181,Agent 33,983.4,(other),other,0,0,203
Ogerpon,55565273,103512723,Kai Buchmueller,551.8,Lucario,Lucario,0,1,156
Ogerpon,55565273,103505585,Sohshi Nakamura,805.3,Grimmsnarl+Froslass,Grimmsnarl,1,0,152
Ogerpon,55565273,103506354,Aji Samudra,890.4,Kangaskhan,Kangaskhan,0,0,132
Ogerpon,55565273,103495577,Jason Anderson,602.8,Alakazam,Alakazam,0,1,161
Ogerpon,55565273,103492342,control the variance,934.9,Alakazam,Alakazam,1,0,136
Ogerpon,55565273,103486622,fsun,,Grimmsnarl+Froslass,Grimmsnarl,0,1,162
Ogerpon,55565273,103474467,Lester Leong,877.0,Alakazam,Alakazam,0,1,93
Ogerpon,55565273,103475000,cununn,998.4,Dragapult,Dragapult,0,1,163
Ogerpon,55565273,103472209,あなまか,1011.1,Kangaskhan+Ogerpon,Kangaskhan,0,0,135
Ogerpon,55565273,103460647,takaygiiiiiiii,825.0,Grimmsnarl+Froslass,Grimmsnarl,1,0,119
Ogerpon,55565273,103448638,squirtles,897.2,Alakazam,Alakazam,0,1,87
Ogerpon,55565273,103445411,wuyufan,928.2,Grimmsnarl+Froslass,Grimmsnarl,1,1,169
Ogerpon,55565273,103436478,jiatu.l,932.5,Grimmsnarl+Froslass,Grimmsnarl,1,0,127
Ogerpon,55565273,103424845,amaotone,901.3,(other),other,1,1,130
Ogerpon,55565273,103418166,philip next,899.3,Froslass+Lopunny,Lopunny,0,1,210
Ogerpon,55565273,103416080,Komil Parmar,965.0,Froslass+Lopunny,Lopunny,0,1,106
Ogerpon,55565273,103404045,RtoABC,1008.9,Dragapult,Dragapult,0,0,107
Ogerpon,55565273,103403306,tttzof351,921.1,Grimmsnarl+Froslass,Grimmsnarl,1,1,138
Ogerpon,55565273,103391790,Ajay Sampath,850.0,Grimmsnarl+Froslass,Grimmsnarl,1,1,110
Ogerpon,55565273,103380170,HireMe,815.6,Grimmsnarl+Froslass,Grimmsnarl,1,1,172
Ogerpon,55565273,103374393,yamamekko,841.5,Grimmsnarl+Froslass,Grimmsnarl,1,1,169
Ogerpon,55565273,103362842,from mlgang with love,826.3,Alakazam,Alakazam,1,0,179
Ogerpon,55565273,103357171,あなまか,1011.1,Kangaskhan+Ogerpon,Kangaskhan,0,0,145
Ogerpon,55565273,103347150,mamematcha,844.1,Kangaskhan,Kangaskhan,0,0,142
Ogerpon,55565273,103347724,Yan,888.9,Ogerpon,Ogerpon,1,0,129
Ogerpon,55565273,103335529,beeyan,945.3,Kangaskhan,Kangaskhan,0,1,123
Ogerpon,55565273,103334988,iwashi,913.6,Grimmsnarl+Froslass,Grimmsnarl,1,1,163
Ogerpon,55565273,103333757,vvs,1043.0,Alakazam,Alakazam,1,0,183
Ogerpon,55565273,103325561,pokemon,1025.4,(other),other,1,1,162
Ogerpon,55565273,103313990,Royce Smart,916.3,Dragapult,Dragapult,0,1,209
Ogerpon,55565273,103302405,Ken_Ken_Pa,838.3,Alakazam,Alakazam,0,1,113
Ogerpon,55565273,103296772,kuromoka,834.8,Grimmsnarl+Froslass,Grimmsnarl,1,1,164
Ogerpon,55565273,103285144,Gakupide,645.0,Lucario,Lucario,1,0,116
Ogerpon,55565273,103273561,f_u,834.8,Grimmsnarl+Froslass,Grimmsnarl,0,1,85
Ogerpon,55565273,103262033,shintacs,781.3,Alakazam,Alakazam,1,0,181
Ogerpon,55565273,103261773,kawhi0.0,903.2,Grimmsnarl+Froslass,Grimmsnarl,1,0,42
Ogerpon,55565273,103249744,Seasaw,930.9,(other),other,0,0,142
Ogerpon,55565273,103241149,Santiago Maniches,863.4,Grimmsnarl+Froslass,Grimmsnarl,1,0,137
Ogerpon,55565273,103235120,Tony Li,981.0,Froslass+Lopunny,Lopunny,0,0,157
Ogerpon,55565273,103231019,AdrianWang2003,895.9,Alakazam,Alakazam,1,1,178
Ogerpon,55565273,103222438,Shelgon,898.4,Dragapult,Dragapult,0,1,209
Ogerpon,55565273,103210868,Matthew.lee010299,843.9,Grimmsnarl+Froslass,Grimmsnarl,0,1,112
Ogerpon,55565273,103207155,lvisdd,860.4,Grimmsnarl+Froslass,Grimmsnarl,1,0,181
Ogerpon,55565273,103202386,hatata,929.8,Ogerpon,Ogerpon,0,1,131
Ogerpon,55565273,103190840,suguuuuu & hiehie,945.9,(other),other,0,1,169
Ogerpon,55565273,103181780,Jaywang,837.0,Grimmsnarl+Froslass,Grimmsnarl,1,0,117
Ogerpon,55565273,103179165,hoshippi,823.5,Grimmsnarl+Froslass,Grimmsnarl,1,0,144
Ogerpon,55565273,103167149,Pokemon Garı Gacıyo,846.7,Garchomp,Garchomp,1,0,140
Ogerpon,55565273,103162406,full-auto agent,897.2,Alakazam,Alakazam,0,0,130
Ogerpon,55565273,103150853,ZHYW,867.8,Alakazam,Alakazam,0,1,97
Ogerpon,55565273,103139294,ttmn,997.6,(other),other,0,0,163
Ogerpon,55565273,103125588,eierapfelxx&OYAMA,882.0,Grimmsnarl+Froslass,Grimmsnarl,1,1,187
Ogerpon,55565273,103127242,carbonapi,975.5,Kangaskhan+Ogerpon,Kangaskhan,0,1,119
Ogerpon,55565273,103122456,kigasudayooo,904.1,Alakazam,Alakazam,0,1,132
Ogerpon,55565273,103110886,titako0000,954.8,Dragapult,Dragapult,0,0,168
Ogerpon,55565273,103104973,kurigen,923.9,Grimmsnarl+Froslass,Grimmsnarl,1,0,186
Ogerpon,55565273,103093320,Deng Xianghuai,878.0,Grimmsnarl+Froslass,Grimmsnarl,1,0,157
Ogerpon,55565273,103081497,Nghia Tran + ketchum alt,956.8,Ogerpon,Ogerpon,1,1,134
Ogerpon,55565273,103069914,A. R. SEKKAT,871.8,Grimmsnarl+Froslass,Grimmsnarl,1,0,160
Ogerpon,55565273,103057931,Victor @ Tufa Labs,840.9,Grimmsnarl+Froslass,Grimmsnarl,1,0,129
Ogerpon,55565273,103046404,ibushimaru,390.9,Lucario,Lucario,1,1,127
Ogerpon,55565273,103034815,JovanaLab,964.4,Ogerpon,Ogerpon,0,0,135
Ogerpon,55565273,103034473,AdrianWang2003,895.9,Alakazam,Alakazam,1,0,147
Ogerpon,55565273,103023228,Ivan Aleksandrov,819.2,Grimmsnarl+Froslass,Grimmsnarl,1,1,183
Ogerpon,55565273,103017004,ВМКЗАРДЫ,941.2,Kangaskhan+Ogerpon,Kangaskhan,0,1,122
Ogerpon,55565273,103012359,Yuya_ViVi,932.4,Ogerpon,Ogerpon,1,0,138
Ogerpon,55565273,103012504,孙割,,Ogerpon,Ogerpon,0,0,120
Ogerpon,55565273,103000741,Nagahama Toda,902.4,Alakazam,Alakazam,0,1,119
Ogerpon,55565273,102988757,那个男人,953.0,Dragapult,Dragapult,0,0,198
Ogerpon,55565273,102986353,aca-ta,943.4,(other),other,0,0,148
Ogerpon,55565273,102976653,Daksh Bhalala,828.2,Grimmsnarl+Froslass,Grimmsnarl,1,0,148
Ogerpon,55565273,102965050,Arata,539.5,Dragapult,Dragapult,1,1,109
Ogerpon,55565273,102961375,Kyohei,834.3,Alakazam,Alakazam,1,1,175
Ogerpon,55565273,102957556,WJui,830.6,Grimmsnarl+Froslass,Grimmsnarl,1,1,147
Ogerpon,55565273,102955190,haruto,942.5,Alakazam,Alakazam,0,0,149
Ogerpon,55565273,102943640,tokk,897.2,Alakazam,Alakazam,0,1,53
Ogerpon,55565273,102934957,JZ,980.2,Grimmsnarl+Froslass,Grimmsnarl,1,1,126
Ogerpon,55565273,102933163,Vermillion City Pikachu,929.4,Kangaskhan,Kangaskhan,0,1,118
Ogerpon,55565273,102928618,Tarang222,950.9,Grimmsnarl+Froslass,Grimmsnarl,1,1,151
Ogerpon,55565273,102919437,Shoko,856.2,Grimmsnarl+Froslass,Grimmsnarl,1,1,157
Ogerpon,55565273,102916792,Ryutaro,194.3,(other),other,1,0,67
Ogerpon,55565273,102909247,Latte,911.6,Kangaskhan,Kangaskhan,0,0,123
Ogerpon,55565273,102897205,JovanaLab,964.4,Ogerpon,Ogerpon,0,1,44
Ogerpon,55565273,102885579,Tatsuya Kayama,887.2,Ogerpon,Ogerpon,1,0,138
Ogerpon,55565273,102879555,Pillip Youn,728.9,Alakazam,Alakazam,0,0,148
Ogerpon,55565273,102867969,那个男人,953.0,Dragapult,Dragapult,1,1,243
Ogerpon,55565273,102856413,Slopémon,980.1,Kangaskhan+Ogerpon,Kangaskhan,0,0,137
Ogerpon,55565273,102845756,Julian,830.5,Grimmsnarl+Froslass,Grimmsnarl,1,1,178
Ogerpon,55565273,102834236,Pokopia,972.8,Grimmsnarl+Froslass,Grimmsnarl,1,0,196
Ogerpon,55565273,102822677,Kento Umeda,896.9,Grimmsnarl+Froslass,Grimmsnarl,0,1,166
Ogerpon,55565273,102811000,すずき,880.3,Lucario,Lucario,0,0,148
Ogerpon,55565273,102805268,Sebastian & Breno,860.3,Grimmsnarl+Froslass,Grimmsnarl,1,0,145
Ogerpon,55565273,102793749,CoorDi,832.9,Grimmsnarl+Froslass,Grimmsnarl,1,0,110
Ogerpon,55565273,102782190,nsytsqdtn,960.1,Lucario,Lucario,1,1,154
Ogerpon,55565273,102770229,kusui26,980.7,Alakazam,Alakazam,0,1,100
Ogerpon,55565273,102758353,Manish Swami,823.2,Grimmsnarl+Froslass,Grimmsnarl,1,1,129
Ogerpon,55565273,102758589,皮卡西@北京乐一,900.8,Ogerpon,Ogerpon,0,0,144
Ogerpon,55565273,102747466,kazuki0123,882.8,Kangaskhan+Ogerpon,Kangaskhan,1,1,150
Ogerpon,55565273,102735912,4418,922.0,Dragapult,Dragapult,0,1,192
Ogerpon,55565273,102727264,kojingbo,885.8,Grimmsnarl+Froslass,Grimmsnarl,1,1,172
Ogerpon,55565273,102715757,mikelou1,833.0,Alakazam,Alakazam,0,1,171
Ogerpon,55565273,102715418,Eamonn Kashyap,928.1,Kangaskhan,Kangaskhan,0,0,128
Ogerpon,55565273,102709595,static,814.5,Grimmsnarl+Froslass,Grimmsnarl,1,0,147
Ogerpon,55565273,102705736,ToastUz,891.9,Ogerpon,Ogerpon,1,1,166
Ogerpon,55565273,102695674,mealck,912.7,Alakazam,Alakazam,0,0,179
Ogerpon,55565273,102693043,Gracie,782.4,Alakazam,Alakazam,1,0,38
Ogerpon,55565273,102681049,sssskilo,848.7,Grimmsnarl+Froslass,Grimmsnarl,1,1,169
Ogerpon,55565273,102669432,Latte,911.6,Kangaskhan,Kangaskhan,0,1,117
Ogerpon,55565273,102657150,titako0000,954.8,Dragapult,Dragapult,0,0,78
Ogerpon,55565273,102657902,mararaa,858.6,Froslass+Lopunny,Lopunny,0,1,122
Ogerpon,55565273,102646300,yu_w,884.4,Grimmsnarl+Froslass,Grimmsnarl,1,1,154
Ogerpon,55565273,102634297,sakimyto,665.2,(other),other,1,1,150
Ogerpon,55565273,102624284,Ash Kecap,907.3,Grimmsnarl+Froslass,Grimmsnarl,1,1,130
Ogerpon,55565273,102612707,ペンギン,865.8,Grimmsnarl+Froslass,Grimmsnarl,1,0,170
Ogerpon,55565273,102600671,a982295350,877.0,Alakazam,Alakazam,0,1,99
Ogerpon,55565273,102589084,v0m0v,804.1,Kangaskhan,Kangaskhan,1,0,71
Ogerpon,55565273,102577485,beeyan,945.3,Kangaskhan,Kangaskhan,0,1,145
Ogerpon,55565273,102574467,Samuel Sundararaman ,915.9,Kangaskhan+Ogerpon,Kangaskhan,0,0,75
Ogerpon,55565273,102562470,DECEM,974.8,Dragapult,Dragapult,1,0,26
Ogerpon,55565273,102550848,Yaroslav,945.2,Grimmsnarl+Froslass,Grimmsnarl,1,0,197
Ogerpon,55565273,102550179,Ziyang Luo,900.3,Ogerpon,Ogerpon,0,0,95
Ogerpon,55565273,102550602,Shardul Gharat,968.2,Dragapult,Dragapult,0,1,203
Ogerpon,55565273,102538168,kurigen,923.9,Grimmsnarl+Froslass,Grimmsnarl,1,1,165
Ogerpon,55565273,102537460,six seven,927.6,Kangaskhan,Kangaskhan,0,0,111
Ogerpon,55565273,102525958,Confusion,932.3,Ogerpon,Ogerpon,0,0,128
Ogerpon,55565273,102519919,Nghia Tran + ketchum alt,956.8,Ogerpon,Ogerpon,0,0,150
Ogerpon,55565273,102508368,tamakiken_OB,1000.1,Froslass+Lopunny,Lopunny,0,1,148
Ogerpon,55565273,102496811,Tim2006,888.7,Ogerpon,Ogerpon,0,0,141
Ogerpon,55565273,102485236,hisatarosu,823.4,Grimmsnarl+Froslass,Grimmsnarl,1,1,135
Ogerpon,55565273,102483244,LiamK,1186.3,Dragapult,Dragapult,0,1,153
Ogerpon,55565273,102471184,tedo,936.2,Grimmsnarl+Froslass,Grimmsnarl,1,1,148
Ogerpon,55565273,102459581,Where is my orbit,968.4,Grimmsnarl+Froslass,Grimmsnarl,1,1,178
Ogerpon,55565273,102456140,Mathurin Ache,810.4,Grimmsnarl+Froslass,Grimmsnarl,1,0,167
Ogerpon,55565273,102448633,李秉叡（ntumlnoob）,1178.0,Kangaskhan,Kangaskhan,0,1,176
Ogerpon,55565273,102444227,Andreas Palmgren,882.8,Alakazam,Alakazam,0,1,59
Ogerpon,55565273,102443126,Gappy,846.3,Dragapult,Dragapult,1,0,88
Ogerpon,55565273,102432666,YutoRagi,883.2,Dragapult,Dragapult,1,0,191
Ogerpon,55565273,102420862,POKEN,953.4,Dragapult,Dragapult,0,1,202
Ogerpon,55565273,102421091,jbreezy,839.7,Grimmsnarl+Froslass,Grimmsnarl,1,0,146
Ogerpon,55565273,102411759,Syed Saad Hasan Emad,900.4,Alakazam,Alakazam,0,1,69
Ogerpon,55565273,102399769,tsukammo,890.3,Ogerpon,Ogerpon,1,0,145
Ogerpon,55565273,102389329,MAJ0RT0M,917.2,Alakazam,Alakazam,1,0,176
Ogerpon,55565273,102377407,Powerful Hand Club,892.1,Alakazam,Alakazam,0,1,156
Ogerpon,55565273,102365807,Jeryos,927.4,Kangaskhan,Kangaskhan,0,1,168
Ogerpon,55565273,102361301,Pika Pika,815.5,Grimmsnarl+Froslass,Grimmsnarl,1,0,140
Ogerpon,55565273,102349707,kojingbo,885.8,Grimmsnarl+Froslass,Grimmsnarl,1,1,189
Ogerpon,55565273,102346800,Larps,830.5,Grimmsnarl+Froslass,Grimmsnarl,1,0,141
Ogerpon,55565273,102343643,Santiago Maniches,863.4,Grimmsnarl+Froslass,Grimmsnarl,1,0,138
Ogerpon,55565273,102332023,Zhu Liang,968.0,Kangaskhan+Ogerpon,Kangaskhan,0,1,132
Ogerpon,55565273,102329461,YOKKO,688.5,Lucario,Lucario,1,0,154
Ogerpon,55565273,102317915,Subin An,826.1,Grimmsnarl+Froslass,Grimmsnarl,1,1,140
Ogerpon,55565273,102305882,Seungjun Lee,871.0,Froslass+Lopunny,Lopunny,0,0,154
Ogerpon,55565273,102293222,kernlst92,827.5,Grimmsnarl+Froslass,Grimmsnarl,1,0,131
Ogerpon,55565273,102294269,ドラパルド使わない同盟,906.4,Froslass+Lopunny,Lopunny,0,1,50
